review,sentiment
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
This movie is a masterpiece.,positive
